VARIABLES = e11,s11
 0.10000D-03 0.69879D-01
 0.20000D-03 0.12014D+00
 0.32500D-03 0.17070D+00
 0.48125D-03 0.22310D+00
 0.67656D-03 0.27831D+00
 0.92070D-03 0.33702D+00
 0.12259D-02 0.39971D+00
 0.16073D-02 0.46666D+00
 0.20842D-02 0.53791D+00
 0.26802D-02 0.61317D+00
 0.34253D-02 0.69159D+00
 0.43566D-02 0.77151D+00
 0.53566D-02 0.84017D+00
 0.63566D-02 0.89453D+00
 0.73566D-02 0.93676D+00
 0.83566D-02 0.96824D+00
 0.93566D-02 0.98987D+00
 0.10357D-01 0.10024D+01
 0.11357D-01 0.10118D+01
 0.12357D-01 0.10204D+01
 0.13357D-01 0.10285D+01
 0.14357D-01 0.10360D+01
 0.15357D-01 0.10430D+01
 0.16357D-01 0.10497D+01
 0.17357D-01 0.10560D+01
 0.18357D-01 0.10619D+01
 0.19357D-01 0.10676D+01
 0.20357D-01 0.10730D+01
 0.21357D-01 0.10782D+01
 0.22357D-01 0.10832D+01
 0.23357D-01 0.10880D+01
 0.24357D-01 0.10926D+01
 0.25357D-01 0.10970D+01
 0.26357D-01 0.11013D+01
 0.27357D-01 0.11054D+01
 0.28357D-01 0.11094D+01
 0.29357D-01 0.11132D+01
 0.30357D-01 0.11170D+01
 0.31357D-01 0.11206D+01
 0.32357D-01 0.11242D+01
 0.33357D-01 0.11276D+01
 0.34357D-01 0.11309D+01
 0.35357D-01 0.11342D+01
 0.36357D-01 0.11374D+01
 0.37357D-01 0.11405D+01
 0.38357D-01 0.11435D+01
 0.39357D-01 0.11465D+01
 0.40357D-01 0.11494D+01
 0.41357D-01 0.11522D+01
 0.42357D-01 0.11549D+01
 0.43357D-01 0.11576D+01
 0.44357D-01 0.11603D+01
 0.45357D-01 0.11629D+01
 0.46357D-01 0.11654D+01
 0.47357D-01 0.11679D+01
 0.48357D-01 0.11704D+01
 0.49357D-01 0.11728D+01
 0.50357D-01 0.11751D+01
 0.51357D-01 0.11775D+01
 0.52357D-01 0.11797D+01
 0.53357D-01 0.11820D+01
 0.54357D-01 0.11842D+01
 0.55357D-01 0.11864D+01
 0.56357D-01 0.11885D+01
 0.57357D-01 0.11906D+01
 0.58357D-01 0.11926D+01
 0.59357D-01 0.11947D+01
 0.60357D-01 0.11967D+01
 0.61357D-01 0.11986D+01
 0.62357D-01 0.12006D+01
 0.63357D-01 0.12025D+01
 0.64357D-01 0.12044D+01
 0.65357D-01 0.12063D+01
 0.66357D-01 0.12081D+01
 0.67357D-01 0.12099D+01
 0.68357D-01 0.12117D+01
 0.69357D-01 0.12135D+01
 0.70357D-01 0.12152D+01
 0.71357D-01 0.12169D+01
 0.72357D-01 0.12186D+01
 0.73357D-01 0.12203D+01
 0.74357D-01 0.12219D+01
 0.75357D-01 0.12236D+01
 0.76357D-01 0.12252D+01
 0.77357D-01 0.12268D+01
 0.78357D-01 0.12284D+01
 0.79357D-01 0.12299D+01
 0.80357D-01 0.12315D+01
 0.81357D-01 0.12330D+01
 0.82357D-01 0.12345D+01
 0.83357D-01 0.12360D+01
 0.84357D-01 0.12375D+01
 0.85357D-01 0.12389D+01
 0.86357D-01 0.12404D+01
 0.87357D-01 0.12418D+01
 0.88357D-01 0.12432D+01
 0.89357D-01 0.12446D+01
 0.90357D-01 0.12460D+01
 0.91357D-01 0.12474D+01
 0.92357D-01 0.12488D+01
 0.93357D-01 0.12501D+01
 0.94357D-01 0.12514D+01
 0.95357D-01 0.12528D+01
 0.96357D-01 0.12541D+01
 0.97357D-01 0.12554D+01
 0.98357D-01 0.12567D+01
 0.99357D-01 0.12579D+01
 0.99287D-01 0.12578D+01
 0.97287D-01 0.12553D+01
 0.95287D-01 0.12527D+01
 0.93287D-01 0.12500D+01
 0.91287D-01 0.12473D+01
 0.89287D-01 0.12445D+01
 0.87287D-01 0.12417D+01
 0.85287D-01 0.12388D+01
 0.83287D-01 0.12359D+01
